"Timestamp","Have you heard of green/sustainable finance?","How aware are you of the impact your current bank has on sustainability?","How would you rank the importance you place on return on investment vs sustainability? Choose 1 if you feel return on investment is most important, 5 if you feel sustainability is most important, and 3 if you're neutral.","How important is sustainability to you when you're choosing a bank.","How willing are you to switch to a bank based on environmental sustainability alone.","Imagine that you're choosing a bank based on the following environmental issues. Give each issue a rating of 1 - 5, 1 being not important and 5 being very important to you. [Investment in fossil fuels]","Imagine that you're choosing a bank based on the following environmental issues. Give each issue a rating of 1 - 5, 1 being not important and 5 being very important to you. [Carbon disclosure and reduction targets]","Imagine that you're choosing a bank based on the following environmental issues. Give each issue a rating of 1 - 5, 1 being not important and 5 being very important to you. [Investment in green initiatives, eg. renewable energy or sustainable homes]","Imagine that you're choosing a bank based on the following environmental issues. Give each issue a rating of 1 - 5, 1 being not important and 5 being very important to you. [Mining and extraction]","Imagine that you're choosing a bank based on the following environmental issues. Give each issue a rating of 1 - 5, 1 being not important and 5 being very important to you. [Sustainability reporting]","Imagine that you're choosing a bank based on the following environmental issues. Give each issue a rating of 1 - 5, 1 being not important and 5 being very important to you. [Existence of a corporate environmental policy]","Imagine that you're choosing a bank based on the following environmental issues. Give each issue a rating of 1 - 5, 1 being not important and 5 being very important to you. [B Corp certification]","Imagine that you're choosing a bank based on the following environmental issues. Give each issue a rating of 1 - 5, 1 being not important and 5 being very important to you. [Industrial meat farming]","Imagine that you're choosing a bank based on the following environmental issues. Give each issue a rating of 1 - 5, 1 being not important and 5 being very important to you. [Destruction of the Amazon]","Imagine that you're choosing a bank based on the following environmental issues. Give each issue a rating of 1 - 5, 1 being not important and 5 being very important to you. [Destruction in the Congo Basin]","Imagine that you're choosing a bank based on the following environmental issues. Give each issue a rating of 1 - 5, 1 being not important and 5 being very important to you. [Deforestation (general) ]","Imagine that you're choosing a bank based on the following environmental issues. Give each issue a rating of 1 - 5, 1 being not important and 5 being very important to you. [Arctic LNG project]","Imagine that you're choosing a bank based on the following environmental issues. Give each issue a rating of 1 - 5, 1 being not important and 5 being very important to you. [Clean water]","Are there other specific issues that are important to you?","Feel free to share any thoughts you have on sustainable banking.","",""
"2022/01/10 11:30:43 am GMT+8","Yes","4","5","5","5","10","5","5","10","9","5","3","4","","","10","","","Yes","","Destruction of the Amazon;Destruction in the Congo Basin and New Guinea;Arctic LNG project;Mining and human rights;Carbon neutrality",""
"2022/01/10 11:37:00 am GMT+8","Yes","1","4","3","3","10","2","3","7","6","5","4","1","","","9","","","Yes","","Destruction of the Amazon;Destruction in the Congo Basin and New Guinea;Arctic LNG project;Mining and human rights",""
"2022/01/10 12:02:12 pm GMT+8","Yes","3","4","4","4","4","5","5","4","5","5","4","5","","","5","","","Yes","","Destruction of the Amazon;Destruction in the Congo Basin and New Guinea;Arctic LNG project;Mining and human rights;Carbon neutrality",""
"2022/01/10 12:15:11 pm GMT+8","Yes","2","4","3","2","5","2","4","5","3","4","4","2","","","4","","","Yes","","Destruction of the Amazon;Destruction in the Congo Basin and New Guinea;Arctic LNG project;Mining and human rights",""
"2022/01/10 12:26:06 pm GMT+8","Yes","1","3","3","2","5","3","4","5","3","3","2","1","5","5","4","5","5","","","",""
"2022/01/10 12:37:11 pm GMT+8","Yes","3","4","4","5","5","5","5","5","5","5","5","5","5","4","5","5","5","Ethical banking","Will bank adopt practices that seem ethical yet does not adopt othet practices that have a greater impact.","",""
"2022/01/10 7:58:56 pm GMT+8","Yes","2","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","Investment in arms companies","🤞👍","",""
"2022/01/11 8:33:50 am GMT+8","Yes","2","4","3","2","3","3","3","3","3","3","3","3","3","3","3","3","3","If I were choosing a new bank now, I would pay more attention to sustainability. But I am lazy and want to avoid the hassle of changing, so the biggest practical factor is the ease of change. I don't even know what is required, I've never changed a bank, I'm just imagining that I'd need to report the change to many places, and I'm afraid I'd forget and then some payment may not go through, or people try to send me money and it doesn't work, and there will be trouble. So if a bank wants me to switch to them, they should provide information about practical details, where do I need to report the change, can there be some hassle and how to avoid it.","","",""
"2022/01/11 9:35:24 am GMT+8","Yes","4","4","1","4","5","5","4","5","5","5","4","5","5","5","5","5","4","Educational/awareness initiatives in their business instead of just something ""for show"" + any exploitation of the poorer economies by passing the problem to them.","it is fairly new and we don't hear enough of that. Investors generally worry does sustainability goals lead to a tradeoff in investment returns.","",""
"2022/01/12 11:52:23 am GMT+8","Yes","3","4","4","5","5","4","4","4","5","4","3","4","5","5","5","5","5","","","",""